SW_MATCHED,SW_ELAPSED,HW_MATCHED,HW_ELAPSED
900,128,0.001548,128,0.044622
900,128,0.001534,128,0.044606
900,128,0.001529,128,0.044620
900,128,0.001535,128,0.044630
900,128,0.001526,128,0.044627
900,128,0.001540,128,0.044615
900,128,0.001525,128,0.044619
900,128,0.001527,128,0.044620
900,128,0.001541,128,0.044613
900,128,0.001561,128,0.044619
900,128,0.001545,128,0.044616
900,128,0.001528,128,0.044584
900,128,0.001529,128,0.044625
900,128,0.001534,128,0.044629
900,128,0.001539,128,0.044627
900,128,0.001539,128,0.044624
900,128,0.001518,128,0.044624
900,128,0.001551,128,0.044625
900,128,0.001533,128,0.044629
900,128,0.001510,128,0.044630
900,128,0.001514,128,0.044623
900,128,0.001521,128,0.044614
900,128,0.001519,128,0.044627
900,128,0.001516,128,0.044624
900,128,0.001542,128,0.044623
900,128,0.001535,128,0.044623
900,128,0.001509,128,0.044631
1000,128,0.001687,128,0.049631
1000,128,0.001706,128,0.049634
1000,128,0.001703,128,0.049632
1000,128,0.001711,128,0.049634
1000,128,0.001729,128,0.049500
1000,128,0.001710,128,0.049624
1000,128,0.001709,128,0.049622
1000,128,0.001677,128,0.049545
1000,128,0.001697,128,0.049620
1000,128,0.001709,128,0.049626
1000,128,0.001729,128,0.049552
1000,128,0.001720,128,0.049606
1000,128,0.001704,128,0.049632
1000,128,0.001701,128,0.049627
1000,128,0.001718,128,0.049637
1000,128,0.001713,128,0.049622
1000,128,0.001705,128,0.049636
1000,128,0.001700,128,0.049635
1000,128,0.001723,128,0.049629
1000,128,0.001688,128,0.049631
1000,128,0.001716,128,0.049625
1000,128,0.001693,128,0.049628
1000,128,0.001698,128,0.049623
1000,128,0.001676,128,0.049543
1000,128,0.001724,128,0.049618
1000,128,0.001681,128,0.049626
1000,128,0.001691,128,0.049598
1000,128,0.001695,128,0.049623
1000,128,0.001683,128,0.049635
1000,128,0.001694,128,0.049631
1000,128,0.001696,128,0.049632
1000,128,0.001709,128,0.049626
1000,128,0.001673,128,0.049634
1000,128,0.001718,128,0.049630
1000,128,0.001687,128,0.049628
1000,128,0.001714,128,0.049629
1000,128,0.001661,128,0.049630
1000,128,0.001694,128,0.049625
1000,128,0.001706,128,0.049621
1000,128,0.001700,128,0.049625
1000,128,0.001694,128,0.049628
1000,128,0.001695,128,0.049620
1000,128,0.001721,128,0.049622
1000,128,0.001714,128,0.049635
1000,128,0.001689,128,0.049632
1000,128,0.001719,128,0.049627
1000,128,0.001688,128,0.049636
1000,128,0.001693,128,0.049628
1000,128,0.001691,128,0.049637
1000,128,0.001692,128,0.049626
1000,128,0.001717,128,0.049615
1000,128,0.001680,128,0.049628
1000,128,0.001719,128,0.049620
1000,128,0.001697,128,0.049619
1000,128,0.001710,128,0.049619
1000,128,0.001681,128,0.049622
1000,128,0.001711,128,0.049619
1000,128,0.001688,128,0.049619
1000,128,0.001699,128,0.049624
1000,128,0.001694,128,0.049639
1000,128,0.001701,128,0.049630
1000,128,0.001718,128,0.049632
1000,128,0.001712,128,0.049634
1000,128,0.001713,128,0.049628
1000,128,0.001679,128,0.049635
1000,128,0.001707,128,0.049626
1000,128,0.001701,128,0.049633
1000,128,0.001737,128,0.049628
1000,128,0.001696,128,0.049627
1000,128,0.001710,128,0.049585
1000,128,0.001704,128,0.049618
1000,128,0.001703,128,0.049625
1000,128,0.001714,128,0.049619
1000,128,0.001711,128,0.049632
1000,128,0.001686,128,0.049302
1000,128,0.001687,128,0.049628
1000,128,0.001711,128,0.049632
1000,128,0.001747,128,0.049516
1000,128,0.001681,128,0.049556
1000,128,0.001693,128,0.049627
1000,128,0.001685,128,0.049621
1000,128,0.001687,128,0.049622
1000,128,0.001690,128,0.049626
1000,128,0.001694,128,0.049620
1000,128,0.001721,128,0.049356
1000,128,0.001698,128,0.049626
1000,128,0.001719,128,0.049625
1000,128,0.001687,128,0.049628
1000,128,0.001695,128,0.049307
1000,128,0.001702,128,0.049621
1000,128,0.001707,128,0.049556
1000,128,0.001694,128,0.049549
1000,128,0.001718,128,0.049628
1000,128,0.001721,128,0.049643
1000,128,0.001692,128,0.049548
1000,128,0.001697,128,0.049549
1000,128,0.001716,128,0.049509
1000,128,0.001675,128,0.049626
1000,128,0.001688,128,0.049623
1000,128,0.001702,128,0.049625
1100,128,0.001837,128,0.054560
1100,128,0.001866,128,0.054542
1100,128,0.001846,128,0.054570
1100,128,0.001853,128,0.054562
1100,128,0.001866,128,0.054490
1100,128,0.001866,128,0.053482
1100,128,0.001885,128,0.054554
1100,128,0.001868,128,0.054550
1100,128,0.001880,128,0.054561
1100,128,0.001857,128,0.053996
1100,128,0.001855,128,0.054563
1100,128,0.001868,128,0.054477
1100,128,0.001881,128,0.054557
1100,128,0.001849,128,0.054553
1100,128,0.001895,128,0.054494
1100,128,0.001873,128,0.054495
1100,128,0.001863,128,0.054566
1100,128,0.001887,128,0.054560
1100,128,0.001842,128,0.054577
1100,128,0.001851,128,0.054555
1100,128,0.001900,128,0.054567
1100,128,0.001893,128,0.054482
1100,128,0.001862,128,0.054494
1100,128,0.001870,128,0.054491
1100,128,0.001885,128,0.054564
1100,128,0.001859,128,0.054554
1100,128,0.001853,128,0.054559
1100,128,0.001868,128,0.054568
1100,128,0.001846,128,0.054569
1100,128,0.001882,128,0.054573
1100,128,0.001894,128,0.054555
1100,128,0.001884,128,0.054566
1100,128,0.001861,128,0.054560
1100,128,0.001864,128,0.054562
1100,128,0.001849,128,0.054494
1100,128,0.001860,128,0.053094
1100,128,0.001861,128,0.054559
1100,128,0.001890,128,0.054557
1100,128,0.001872,128,0.054563
1100,128,0.001881,128,0.054561
1100,128,0.001867,128,0.054568
1100,128,0.001859,128,0.054569
1100,128,0.001856,128,0.054563
1100,128,0.001856,128,0.054554
1100,128,0.001865,128,0.054554
1100,128,0.001860,128,0.054560
1100,128,0.001864,128,0.054563
1100,128,0.001856,128,0.054565
1100,128,0.001872,128,0.054562
1100,128,0.001889,128,0.054571
1100,128,0.001854,128,0.054562
1100,128,0.001877,128,0.054555
1100,128,0.001877,128,0.054555
1100,128,0.001853,128,0.054485
1100,128,0.001844,128,0.054569
