DB_SIZE,SW_MATCHED,SW_ELAPSED,HW_MATCHED,HW_ELAPSED
4000,128,0.013711,128,0.316078
4000,128,0.014060,128,0.316359
4000,128,0.013886,128,0.316668
4000,128,0.013989,128,0.316799
4000,128,0.013588,128,0.316641
4000,128,0.013792,128,0.316931
4000,128,0.013536,128,0.316676
4000,128,0.013540,128,0.316883
4000,128,0.013714,128,0.315375
4000,128,0.014003,128,0.316900
4000,128,0.014055,128,0.316885
4000,128,0.014026,128,0.316939
4000,128,0.013469,128,0.316931
4000,128,0.013707,128,0.316939
4000,128,0.013910,128,0.316889
4000,128,0.013799,128,0.315437
4000,128,0.013583,128,0.316931
4000,128,0.014000,128,0.316935
4000,128,0.013455,128,0.316849
4000,128,0.013458,128,0.316939
4000,128,0.013884,128,0.316925
4000,128,0.013494,128,0.316675
4000,128,0.013531,128,0.316881
4000,128,0.013426,128,0.316935
4000,128,0.014041,128,0.316941
4000,128,0.014104,128,0.316860
4000,128,0.013720,128,0.316939
4000,128,0.013808,128,0.316935
4000,128,0.013695,128,0.316940
4000,128,0.014023,128,0.316676
4000,128,0.013824,128,0.316935
4000,128,0.013745,128,0.316932
4000,128,0.013960,128,0.316940
4000,128,0.013918,128,0.316418
4000,128,0.013869,128,0.316935
4000,128,0.014206,128,0.316926
4000,128,0.013739,128,0.316940
4000,128,0.013816,128,0.316870
4000,128,0.013432,128,0.316940
4000,128,0.013403,128,0.316929
4000,128,0.013472,128,0.316675
4000,128,0.013933,128,0.316691
4000,128,0.013865,128,0.316675
4000,128,0.013925,128,0.316678
4000,128,0.013999,128,0.316674
4000,128,0.013966,128,0.316681
4000,128,0.014119,128,0.316673
4000,128,0.013505,128,0.316939
4000,128,0.014001,128,0.316866
4000,128,0.013480,128,0.316940
4000,128,0.014019,128,0.316922
4000,128,0.013791,128,0.316940
4000,128,0.013873,128,0.316871
4000,128,0.013860,128,0.316940
4000,128,0.014052,128,0.316916
4000,128,0.013850,128,0.316938
4000,128,0.013878,128,0.316850
4000,128,0.014094,128,0.316895
4000,128,0.013714,128,0.316929
4000,128,0.014180,128,0.316906
4000,128,0.013583,128,0.316939
4000,128,0.013737,128,0.315396
4000,128,0.013746,128,0.316939
4000,128,0.013735,128,0.316939
4000,128,0.014107,128,0.316941
4000,128,0.013819,128,0.316759
4000,128,0.013736,128,0.316934
4000,128,0.013728,128,0.316739
4000,128,0.013814,128,0.316940
4000,128,0.013830,128,0.316922
4000,128,0.013808,128,0.316940
4000,128,0.013783,128,0.316863
4000,128,0.013997,128,0.316939
4000,128,0.013924,128,0.316931
4000,128,0.013764,128,0.316940
4000,128,0.013981,128,0.316897
4000,128,0.013456,128,0.316940
4000,128,0.013751,128,0.316940
4000,128,0.013433,128,0.316932
4000,128,0.013550,128,0.316936
4000,128,0.013848,128,0.316936
4000,128,0.013884,128,0.316934
4000,128,0.013776,128,0.316858
4500,128,0.015232,128,0.316940
4500,128,0.015664,128,0.316903
4500,128,0.015790,128,0.316940
4500,128,0.015452,128,0.316857
4500,128,0.015640,128,0.316940
4500,128,0.015713,128,0.316930
4500,128,0.015757,128,0.316940
4500,128,0.015285,128,0.316920
4500,128,0.015664,128,0.316128
4500,128,0.015580,128,0.316941
4500,128,0.015519,128,0.316854
4500,128,0.015242,128,0.316920
4500,128,0.015819,128,0.316930
4500,128,0.015415,128,0.316935
4500,128,0.015567,128,0.316871
4500,128,0.015834,128,0.316941
4500,128,0.015703,128,0.316940
4500,128,0.015697,128,0.316936
4500,128,0.015174,128,0.316939
4500,128,0.015602,128,0.316922
4500,128,0.015415,128,0.316940
4500,128,0.015494,128,0.316873
4500,128,0.015627,128,0.316935
4500,128,0.015612,128,0.316928
4500,128,0.015618,128,0.316936
4500,128,0.015644,128,0.316941
4500,128,0.015248,128,0.316364
4500,128,0.015594,128,0.316940
4500,128,0.015583,128,0.316874
4500,128,0.015819,128,0.316939
4500,128,0.015718,128,0.316922
4500,128,0.015792,128,0.316940
4500,128,0.015437,128,0.316859
4500,128,0.015500,128,0.315369
4500,128,0.015678,128,0.316940
4500,128,0.015551,128,0.316675
4500,128,0.015222,128,0.316940
4500,128,0.015248,128,0.315352
4500,128,0.015670,128,0.316941
4500,128,0.015869,128,0.316793
4500,128,0.015485,128,0.316935
4500,128,0.015561,128,0.316925
4500,128,0.015570,128,0.316929
